               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.03597,            0.038856,             0.01508,             0.68026,             0.33807,             0.37027,             0.21317,            0.042476,            0.080687,             0.02889,            0.006436,            0.006436,            0.006436
                  38,            0.036091,            0.040606,            0.014941,               0.707,              0.3216,             0.34045,             0.19786,            0.041447,            0.078274,            0.029064,            0.006337,            0.006337,            0.006337
                  39,            0.036418,            0.039998,            0.014521,             0.64769,             0.33669,              0.3517,             0.20284,            0.041017,            0.078385,            0.027706,            0.006238,            0.006238,            0.006238
                  40,            0.035768,            0.039302,            0.014516,             0.70106,             0.32466,             0.35961,             0.20848,            0.041292,            0.078314,             0.02646,            0.006139,            0.006139,            0.006139
                  41,            0.035564,            0.038891,            0.014194,             0.69113,             0.33384,             0.38241,             0.22376,            0.041351,            0.080932,            0.026576,             0.00604,             0.00604,             0.00604
                  42,            0.035447,            0.039468,            0.014203,             0.71798,             0.31395,             0.37183,             0.21579,            0.042894,            0.082056,            0.026116,            0.005941,            0.005941,            0.005941
                  43,            0.035525,             0.03946,            0.013965,             0.72125,             0.32938,             0.36384,             0.21438,            0.041146,            0.081992,            0.026191,            0.005842,            0.005842,            0.005842
                  44,            0.035314,            0.038289,            0.013971,             0.69398,             0.35242,             0.36768,             0.21822,            0.040059,            0.077915,            0.027689,            0.005743,            0.005743,            0.005743
                  45,            0.035191,              0.0386,            0.013509,             0.65332,              0.3163,               0.357,             0.20493,            0.042222,            0.082752,            0.028135,            0.005644,            0.005644,            0.005644
                  46,            0.035016,            0.039259,            0.013621,             0.68679,              0.3342,             0.38266,              0.2285,            0.040292,            0.081103,            0.027881,            0.005545,            0.005545,            0.005545
                  47,            0.034978,            0.037909,            0.013325,             0.68641,             0.34769,             0.37948,             0.22256,            0.040662,            0.080813,            0.027737,            0.005446,            0.005446,            0.005446
                  48,             0.03489,             0.03859,            0.013194,             0.74388,             0.31065,             0.36019,             0.21158,            0.040419,            0.083469,            0.026131,            0.005347,            0.005347,            0.005347
                  49,            0.034945,            0.038963,            0.013164,             0.69938,              0.3235,             0.36767,             0.21483,             0.04093,            0.082272,            0.028408,            0.005248,            0.005248,            0.005248
                  50,            0.033793,            0.036902,            0.012472,             0.73155,             0.33422,             0.39976,             0.24134,            0.040769,            0.082598,            0.026952,            0.005149,            0.005149,            0.005149
                  51,              0.0345,            0.038157,            0.012878,             0.70642,             0.34269,             0.39045,             0.22594,            0.041199,            0.082616,            0.026893,             0.00505,             0.00505,             0.00505
                  52,            0.034112,            0.037322,             0.01262,             0.74553,             0.33438,             0.37327,             0.21611,             0.04071,            0.082881,            0.027009,            0.004951,            0.004951,            0.004951
                  53,            0.033262,             0.03585,            0.012326,             0.65442,             0.35164,             0.36558,             0.21387,            0.040832,            0.084969,            0.027501,            0.004852,            0.004852,            0.004852
                  54,            0.033636,             0.03647,            0.012022,             0.69625,             0.36659,             0.39174,             0.22997,            0.040607,            0.081966,            0.027098,            0.004753,            0.004753,            0.004753
                  55,             0.03329,            0.036911,            0.011834,             0.70752,             0.34748,             0.39889,             0.23568,            0.040295,            0.083321,            0.027293,            0.004654,            0.004654,            0.004654
                  56,            0.033383,            0.036327,            0.011923,              0.7469,             0.32953,             0.38184,             0.21939,            0.040629,            0.080592,            0.026551,            0.004555,            0.004555,            0.004555
                  57,            0.033073,            0.036182,            0.011668,             0.72915,             0.34093,             0.37416,             0.21843,            0.040724,            0.083888,            0.028772,            0.004456,            0.004456,            0.004456
                  58,             0.03295,            0.036349,            0.011583,             0.72817,             0.32094,             0.36461,              0.2163,            0.040845,            0.084695,            0.028056,            0.004357,            0.004357,            0.004357
                  59,            0.033054,            0.036326,            0.011259,             0.73063,             0.32134,             0.39283,             0.23724,             0.04011,            0.083212,            0.028246,            0.004258,            0.004258,            0.004258
                  60,            0.032613,            0.036031,            0.011611,              0.5496,             0.41695,             0.38142,             0.22645,            0.041227,            0.085919,            0.028262,            0.004159,            0.004159,            0.004159
                  61,            0.032251,            0.035117,            0.011049,             0.74464,             0.32145,             0.39504,             0.23575,            0.040635,            0.084544,            0.027919,             0.00406,             0.00406,             0.00406
                  62,            0.032434,            0.035457,            0.010988,             0.73271,             0.34284,             0.40367,             0.24155,            0.040223,            0.087217,            0.028833,            0.003961,            0.003961,            0.003961
                  63,            0.032356,            0.034506,            0.011047,             0.73058,              0.3279,             0.40114,             0.24467,            0.039826,            0.083209,            0.029283,            0.003862,            0.003862,            0.003862
                  64,            0.032293,            0.035945,            0.010761,             0.61819,             0.40134,             0.39015,             0.22798,            0.040714,             0.08702,            0.028486,            0.003763,            0.003763,            0.003763
                  65,            0.031707,            0.034943,             0.01043,             0.70259,             0.35404,              0.3954,             0.23982,            0.040539,            0.085137,            0.027988,            0.003664,            0.003664,            0.003664
                  66,             0.03169,            0.034769,            0.010555,             0.62193,             0.42092,             0.40438,             0.24535,            0.040041,            0.084438,            0.028722,            0.003565,            0.003565,            0.003565
                  67,            0.031847,            0.035492,            0.010441,              0.6487,             0.35159,             0.39836,             0.23771,            0.040829,             0.08669,            0.028117,            0.003466,            0.003466,            0.003466
                  68,            0.031213,            0.034871,            0.010083,             0.77443,             0.32337,             0.40378,             0.24043,            0.040562,             0.08496,            0.027656,            0.003367,            0.003367,            0.003367
                  69,            0.031498,            0.034549,            0.010028,             0.74549,             0.33985,             0.40607,              0.2399,            0.040423,            0.086614,            0.026929,            0.003268,            0.003268,            0.003268
                  70,              0.0312,            0.034231,           0.0098653,              0.6408,             0.41005,              0.3998,             0.23515,             0.04051,            0.087352,            0.027946,            0.003169,            0.003169,            0.003169
                  71,            0.031395,            0.035003,            0.010201,              0.6306,             0.39906,             0.39302,             0.23785,            0.040624,            0.088563,            0.029719,             0.00307,             0.00307,             0.00307
                  72,            0.031058,            0.034755,           0.0097806,             0.66917,             0.39297,             0.39716,             0.23695,            0.040329,            0.086662,            0.028658,            0.002971,            0.002971,            0.002971
                  73,            0.030687,            0.034131,           0.0096253,             0.66556,             0.39588,             0.39899,             0.23583,            0.040633,             0.08679,            0.028648,            0.002872,            0.002872,            0.002872
                  74,            0.030747,            0.034585,            0.009657,             0.67572,             0.37565,             0.40151,             0.23848,            0.040595,            0.087264,            0.030591,            0.002773,            0.002773,            0.002773
                  75,            0.030755,             0.03442,           0.0097395,             0.70529,             0.34389,             0.37181,             0.21753,             0.04008,            0.084177,            0.029426,            0.002674,            0.002674,            0.002674
                  76,            0.030425,            0.034011,           0.0092289,             0.63905,             0.39424,             0.40641,             0.24003,            0.040516,            0.085974,            0.028829,            0.002575,            0.002575,            0.002575
                  77,            0.030551,            0.033967,           0.0093091,              0.6806,             0.37919,               0.406,             0.24373,            0.041067,            0.089853,            0.028484,            0.002476,            0.002476,            0.002476
                  78,            0.030354,             0.03385,           0.0090971,             0.71621,             0.37933,             0.40634,             0.24179,            0.040582,            0.089389,            0.029644,            0.002377,            0.002377,            0.002377
                  79,            0.029966,            0.033478,            0.008704,             0.66667,             0.39356,             0.39927,             0.23765,            0.040242,            0.086545,            0.029595,            0.002278,            0.002278,            0.002278
                  80,            0.029946,            0.033452,           0.0088133,             0.70775,             0.36629,             0.40244,             0.23527,            0.040945,            0.090262,            0.030006,            0.002179,            0.002179,            0.002179
                  81,            0.029627,            0.032916,           0.0085264,              0.6884,             0.39592,             0.41252,             0.24592,            0.040235,            0.086964,            0.029974,             0.00208,             0.00208,             0.00208
                  82,            0.029755,             0.03305,           0.0086403,              0.6934,             0.38296,             0.40886,             0.24015,            0.040863,            0.088126,            0.029438,            0.001981,            0.001981,            0.001981
                  83,             0.02929,            0.033018,           0.0085463,             0.71951,             0.37909,             0.40525,             0.24056,            0.040786,            0.090041,            0.029596,            0.001882,            0.001882,            0.001882
                  84,            0.029683,            0.032736,           0.0086257,             0.73724,             0.35482,             0.39785,               0.235,            0.040447,            0.088521,            0.029214,            0.001783,            0.001783,            0.001783
                  85,            0.029219,            0.032864,           0.0082703,             0.76039,             0.35585,             0.40959,             0.24154,            0.040681,            0.087948,            0.029754,            0.001684,            0.001684,            0.001684
                  86,            0.029351,            0.033122,           0.0085197,              0.7252,             0.37104,             0.41597,             0.24739,            0.040912,            0.088804,            0.029268,            0.001585,            0.001585,            0.001585
                  87,             0.02914,            0.032957,           0.0082756,             0.73867,             0.37026,             0.41568,             0.24793,             0.04082,            0.090361,             0.02907,            0.001486,            0.001486,            0.001486
                  88,            0.029114,            0.032705,           0.0083087,             0.69978,             0.38763,              0.4215,             0.25026,            0.040453,            0.089699,             0.02891,            0.001387,            0.001387,            0.001387
                  89,            0.028892,             0.03266,           0.0080642,             0.70594,             0.38398,             0.42031,              0.2472,            0.040724,            0.091202,            0.029075,            0.001288,            0.001288,            0.001288
                  90,             0.02894,            0.032583,           0.0080167,             0.70999,             0.36822,             0.42207,             0.24967,             0.04099,            0.091883,            0.029528,            0.001189,            0.001189,            0.001189
                  91,            0.028656,            0.031832,           0.0079357,             0.73534,             0.36636,              0.4173,             0.24335,            0.040874,            0.091412,            0.029942,             0.00109,             0.00109,             0.00109
                  92,            0.028299,            0.032261,           0.0077343,             0.73178,               0.358,             0.40809,             0.24278,            0.040938,            0.092334,            0.029188,            0.000991,            0.000991,            0.000991
                  93,            0.028748,             0.03225,           0.0079076,             0.74257,             0.35763,             0.41045,             0.24521,            0.040574,            0.092325,             0.02903,            0.000892,            0.000892,            0.000892
                  94,            0.028577,            0.032553,           0.0078541,             0.75009,             0.36706,              0.4173,             0.24393,            0.040246,            0.089864,            0.029395,            0.000793,            0.000793,            0.000793
                  95,            0.028437,             0.03149,           0.0077654,             0.74652,             0.36102,             0.41594,             0.24769,            0.040611,            0.091938,            0.029445,            0.000694,            0.000694,            0.000694
                  96,             0.02781,            0.030044,            0.007475,             0.76086,             0.35859,             0.41651,              0.2474,            0.040831,            0.091631,            0.029228,            0.000595,            0.000595,            0.000595
                  97,            0.028217,            0.031234,           0.0075264,             0.75413,             0.35871,             0.41863,             0.24918,            0.040638,             0.09203,            0.029344,            0.000496,            0.000496,            0.000496
                  98,            0.028065,            0.031389,           0.0074036,             0.75414,             0.36497,             0.42106,             0.24861,            0.040623,            0.091479,            0.029814,            0.000397,            0.000397,            0.000397
                  99,            0.027957,            0.031548,           0.0075372,             0.73345,             0.36851,             0.41527,             0.24628,            0.040696,             0.09235,            0.029841,            0.000298,            0.000298,            0.000298
