               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.034362,             0.03763,            0.014392,             0.63808,             0.35945,             0.39029,             0.22835,            0.041345,            0.080914,            0.027161,             0.00406,             0.00406,             0.00406
                  38,            0.034499,            0.039526,            0.014133,             0.63153,             0.36066,             0.36903,             0.21394,            0.040894,            0.080933,             0.02685,            0.003895,            0.003895,            0.003895
                  39,            0.034262,            0.038512,            0.013666,             0.71612,             0.35635,             0.38655,             0.22929,            0.040867,            0.081973,            0.027884,             0.00373,             0.00373,             0.00373
                  40,            0.033874,            0.037985,            0.013858,             0.73748,             0.34312,             0.39547,             0.23802,            0.040248,            0.081984,            0.026267,            0.003565,            0.003565,            0.003565
                  41,            0.033613,            0.037477,             0.01327,             0.70087,             0.34503,             0.37298,             0.21486,            0.040989,            0.081642,            0.026842,              0.0034,              0.0034,              0.0034
                  42,            0.033308,            0.037837,            0.013258,             0.69148,              0.3421,             0.38458,             0.23016,            0.041403,            0.084766,            0.026841,            0.003235,            0.003235,            0.003235
                  43,            0.033198,            0.037819,            0.013076,             0.71466,             0.34864,             0.38078,             0.22598,             0.04014,            0.082652,            0.027704,             0.00307,             0.00307,             0.00307
                  44,            0.033002,            0.036637,            0.012942,             0.71843,             0.33473,             0.35949,             0.21319,            0.040302,             0.08379,            0.028206,            0.002905,            0.002905,            0.002905
                  45,            0.032793,            0.036944,            0.012575,             0.72202,             0.33519,             0.38562,              0.2275,            0.041736,            0.085021,             0.02936,             0.00274,             0.00274,             0.00274
                  46,            0.032888,            0.037699,            0.012615,             0.70289,             0.33426,             0.38746,             0.23569,            0.040629,            0.084223,            0.027832,            0.002575,            0.002575,            0.002575
                  47,            0.032569,            0.036142,            0.012431,             0.71009,             0.34206,             0.38324,             0.23054,            0.040201,            0.083789,            0.027144,             0.00241,             0.00241,             0.00241
                  48,            0.032427,            0.036751,            0.012266,             0.65329,             0.35665,             0.36677,             0.21466,            0.040482,            0.087304,            0.028373,            0.002245,            0.002245,            0.002245
                  49,            0.032398,            0.037066,            0.012149,             0.71638,             0.34255,             0.36463,             0.21305,            0.041016,            0.085782,            0.027982,             0.00208,             0.00208,             0.00208
                  50,            0.031245,            0.034906,            0.011413,             0.74573,             0.33994,             0.37735,             0.22665,            0.040146,            0.085076,             0.02801,            0.001915,            0.001915,            0.001915
                  51,            0.031891,            0.035975,            0.011799,             0.72147,             0.35817,             0.38483,             0.22663,            0.040349,            0.086667,            0.026536,             0.00175,             0.00175,             0.00175
                  52,            0.031359,            0.035317,            0.011624,             0.72207,             0.36761,             0.41079,             0.24309,            0.040382,            0.085269,             0.02694,            0.001585,            0.001585,            0.001585
                  53,             0.03081,            0.033973,            0.011166,             0.74011,             0.34465,             0.37036,             0.22087,            0.040072,            0.087339,            0.027626,             0.00142,             0.00142,             0.00142
                  54,             0.03087,            0.034376,            0.011106,             0.73671,             0.33991,             0.38026,             0.22349,            0.040025,            0.086427,            0.027366,            0.001255,            0.001255,            0.001255
                  55,            0.030774,             0.03489,            0.010763,             0.72824,             0.35636,             0.38505,             0.22902,            0.040135,            0.085744,            0.027646,             0.00109,             0.00109,             0.00109
                  56,            0.030568,            0.034216,            0.010871,              0.7622,             0.33463,              0.3839,             0.22958,            0.040001,            0.085539,            0.028333,            0.000925,            0.000925,            0.000925
                  57,            0.030629,            0.034117,            0.010714,             0.73184,             0.35251,             0.39189,              0.2407,            0.039855,            0.087686,            0.028316,             0.00076,             0.00076,             0.00076
                  58,            0.030271,            0.034108,            0.010588,             0.71798,             0.35806,             0.37802,             0.22825,            0.039851,            0.086131,            0.028278,            0.000595,            0.000595,            0.000595
                  59,            0.030278,            0.034221,            0.010297,             0.72925,             0.35452,             0.37459,             0.22704,            0.039537,            0.085808,            0.028052,             0.00043,             0.00043,             0.00043
